state,PositivityRate
"SD        ",15.2892488321081018
"TX        ",13.3588575800553836
"FL        ",12.9235156699565310
"UT        ",12.1340703253042418
"MO        ",11.9063803274343958
"SC        ",11.7376008634309258
"IA        ",11.3339984506424616
"OK        ",11.1963712204479756
"TN        ",11.0938097161467779
"GA        ",11.0916975225167294
